ac_id; cust_id; start_datetime; nhours
3;1;'2012-07-03 11:00:00';2
4;1;'2012-07-03 08:00:00';2
6;0;'2012-07-03 18:00:00';2
7;1;'2012-07-03 19:00:00';2
8;1;'2012-07-03 10:00:00';1
8;1;'2012-07-03 15:00:00';1
0;2;'2012-07-04 09:00:00';3
0;2;'2012-07-04 15:00:00';3
4;3;'2012-07-04 13:30:00';2
4;0;'2012-07-04 15:00:00';2
4;0;'2012-07-04 17:30:00';2
6;0;'2012-07-04 12:30:00';2
6;0;'2012-07-04 14:00:00';2
6;1;'2012-07-04 15:30:00';2
7;2;'2012-07-04 14:00:00';2
8;2;'2012-07-04 12:00:00';1
8;3;'2012-07-04 18:00:00';1
1;0;'2012-07-05 17:30:00';3
2;1;'2012-07-05 09:30:00';3
3;3;'2012-07-05 09:00:00';2
3;1;'2012-07-05 19:00:00';2
4;3;'2012-07-05 18:30:00';2
6;0;'2012-07-05 13:00:00';2
6;1;'2012-07-05 14:30:00';2
7;2;'2012-07-05 18:30:00';2
8;3;'2012-07-05 12:30:00';1
0;0;'2012-07-06 08:00:00';3
0;0;'2012-07-06 14:00:00';3
0;2;'2012-07-06 15:30:00';3
2;1;'2012-07-06 17:00:00';3
3;1;'2012-07-06 11:00:00';2
4;3;'2012-07-06 12:00:00';2
6;1;'2012-07-06 14:00:00';2
7;2;'2012-07-06 08:30:00';2
7;2;'2012-07-06 13:30:00';2
8;3;'2012-07-06 15:30:00';1
0;2;'2012-07-07 08:30:00';3
0;0;'2012-07-07 12:30:00';3
0;2;'2012-07-07 14:30:00';3
1;3;'2012-07-07 08:30:00';3
2;1;'2012-07-07 09:00:00';3
2;1;'2012-07-07 11:30:00';3
2;1;'2012-07-07 16:00:00';3
3;2;'2012-07-07 12:30:00';2
4;3;'2012-07-07 11:30:00';2
4;3;'2012-07-07 14:00:00';2
4;0;'2012-07-07 17:30:00';2
6;0;'2012-07-07 08:30:00';2
6;1;'2012-07-07 10:30:00';2
6;1;'2012-07-07 14:30:00';2
6;0;'2012-07-07 16:00:00';2
7;2;'2012-07-07 11:30:00';2
8;3;'2012-07-07 16:00:00';1
8;3;'2012-07-07 17:30:00';2
0;3;'2012-07-08 13:00:00';3
0;2;'2012-07-08 17:30:00';3
1;1;'2012-07-08 15:00:00';3
1;1;'2012-07-08 17:30:00';3
3;1;'2012-07-08 11:30:00';2
3;3;'2012-07-08 18:30:00';2
3;1;'2012-07-08 19:30:00';2
4;0;'2012-07-08 11:00:00';2
4;2;'2012-07-08 16:30:00';2
4;0;'2012-07-08 18:00:00';2
4;0;'2012-07-08 19:30:00';2
6;0;'2012-07-08 14:00:00';2
6;0;'2012-07-08 18:30:00';2
7;2;'2012-07-08 11:00:00';2
7;1;'2012-07-08 16:30:00';2
8;3;'2012-07-08 10:00:00';1
8;3;'2012-07-08 16:30:00';1
0;2;'2012-07-09 12:30:00';3
0;2;'2012-07-09 15:30:00';3
0;2;'2012-07-09 19:00:00';3
1;0;'2012-07-09 13:00:00';3
1;1;'2012-07-09 19:00:00';3
2;1;'2012-07-09 09:00:00';6
2;0;'2012-07-09 19:00:00';3
3;3;'2012-07-09 17:00:00';2
3;3;'2012-07-09 18:30:00';2
4;2;'2012-07-09 11:00:00';2
4;3;'2012-07-09 14:30:00';2
6;0;'2012-07-09 14:30:00';2
7;1;'2012-07-09 15:30:00';2
7;0;'2012-07-09 18:30:00';4
8;3;'2012-07-09 09:30:00';1
8;3;'2012-07-09 16:30:00';1
8;3;'2012-07-09 20:00:00';1
0;0;'2012-07-10 11:30:00';3
0;0;'2012-07-10 16:00:00';3
3;2;'2012-07-10 08:00:00';2
3;1;'2012-07-10 11:00:00';2
3;3;'2012-07-10 15:30:00';2
3;2;'2012-07-10 16:30:00';2
3;1;'2012-07-10 18:00:00';2
4;0;'2012-07-10 10:00:00';2
4;4;'2012-07-10 11:30:00';2
4;0;'2012-07-10 15:00:00';2
4;3;'2012-07-10 17:00:00';4
5;0;'2012-07-10 08:30:00';2
6;0;'2012-07-10 14:30:00';2
6;0;'2012-07-10 19:00:00';2
7;4;'2012-07-10 08:30:00';2
7;2;'2012-07-10 17:30:00';2
8;0;'2012-07-10 11:30:00';1
8;3;'2012-07-10 12:00:00';1
8;3;'2012-07-10 19:30:00';1
0;4;'2012-07-11 08:00:00';3
0;2;'2012-07-11 10:00:00';3
0;0;'2012-07-11 12:00:00';3
0;0;'2012-07-11 14:00:00';3
0;2;'2012-07-11 15:30:00';3
0;2;'2012-07-11 18:30:00';3
1;0;'2012-07-11 12:30:00';3
1;0;'2012-07-11 16:00:00';3
4;1;'2012-07-11 08:00:00';2
4;0;'2012-07-11 09:00:00';2
4;3;'2012-07-11 11:00:00';2
